season,episode,round,competitor_id,competitor,gender,choice_binary,eliminated,dish,starting_funds,winner_binary,ending_funds,pantry_forced_error,pantry_unforced_error,auctions_won,auction_item1_type,auction_item1_description,auction_item1_winning_bid,auction_item2_type,auction_item2_description,auction_item2_winning_bid,auction_item3_type,auction_item3_description,auction_item3_winning_bid,auction_item4_type,auction_item4_description,auction_item4_winning_bid,auction_money_spent,total_sabotages_received,fines,sabotage1_type,sabotage1_description,sabotage2_type,sabotage2_description,sabotage3_type,sabotage3_description
2,6,1,1,David Slatkin,M,True,True,quesadilla,25000,False,25000,False,False,0,,,,,,,,,,,,,0,1,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",,,,
2,6,1,2,Brook Ager,F,True,False,quesadilla,25000,False,25000,False,False,0,,,,,,,,,,,,,0,2,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",ingredients,cheese from tuna melt,,
2,6,1,3,Leah Evilay,F,True,False,quesadilla,25000,False,11800,False,False,2,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",6800.0,ingredients,cheese from tuna melt,6400.0,,,,,,,13200,1,,distraction,bike made margaritas,,,,
2,6,1,4,Eric Shelton,M,True,False,quesadilla,25000,False,21900,False,False,1,,,,,,,distraction,bike made margaritas,3100.0,,,,3100,1,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",,,,
2,6,2,2,Brook Ager,F,True,True,chicken noodle soup,25000,False,20000,False,False,1,,,,ingredients,"must use comfort food ingredients (OJ,honey,cough drops)",5000.0,,,,,,,5000,2,,exclusivity,competitors cannot taste their food,equipment,must cook in a sheet pan,,
2,6,2,3,Leah Evilay,F,True,False,chicken noodle soup,11800,False,9700,False,False,1,,,,,,,equipment,must cook in a sheet pan,2100.0,,,,2100,1,,exclusivity,competitors cannot taste their food,,,,
2,6,2,4,Eric Shelton,M,False,False,chicken noodle soup,21900,False,11800,False,True,1,exclusivity,competitors cannot taste their food,10100.0,,,,,,,,,,10100,1,,ingredients,"must use comfort food ingredients (OJ,honey,cough drops)",,,,
2,6,3,3,Leah Evilay,F,False,False,fish fry,9700,True,7700,False,False,1,,,,equipment,replace knives w/ fishing equipment,2000.0,,,,,,,2000,1,,ingredients,switch fish for anchovies,,,,
2,6,3,4,Eric Shelton,M,False,True,fish fry,11800,False,10700,False,False,1,ingredients,switch fish for anchovies,1100.0,,,,,,,,,,1100,1,,equipment,replace knives w/ fishing equipment,,,,
2,7,1,5,Mike Brown,M,True,False,fancy french fries,25000,False,22500,False,False,1,ingredients,must use mashed potatoes,2500.0,,,,,,,,,,2500,2,,exclusivity,comptetiors cannot use salt,distraction,must keep hand on cooking equipment,,
