sabotage_description,sabotage_type,count_received,min_winning_bid,max_winning_bid,avg_winning_bid,med_winning_bid
bike made margaritas,distraction,1,3100.0,3100.0,3100.0,3100.0
breakfast buffet voucher (replace ingredients except eggs),ingredients,1,8800.0,8800.0,8800.0,8800.0
can't use water,equipment,1,7000.0,7000.0,7000.0,7000.0
cannot cook on stovetop,equipment,1,13000.0,13000.0,13000.0,13000.0
cheese from tuna melt,ingredients,1,6400.0,6400.0,6400.0,6400.0
choose heat options for all competitors,equipment,3,8100.0,8100.0,8100.0,8100.0
competitors can't use fryer,equipment,2,6200.0,6200.0,6200.0,6200.0
competitors cannot taste their food,exclusivity,2,10100.0,10100.0,10100.0,10100.0
comptetiors cannot use salt,exclusivity,3,3600.0,3600.0,3600.0,3600.0
cook from a camp stove,equipment,1,5000.0,5000.0,5000.0,5000.0
"cook with a different heat source (lamp, straightening iron, blowtorch)",equipment,3,6800.0,6800.0,6800.0,6800.0
cook with an iron,equipment,1,10000.0,10000.0,10000.0,10000.0
"different rice options (sushi, rice pudding, instant, fried rice)",ingredients,3,3500.0,3500.0,3500.0,3500.0
"fish options (sticks, tilapia, anchovies)",ingredients,1,4400.0,4400.0,4400.0,4400.0
force an opponent to use with bottom shelf ingredients,ingredients,1,2000.0,2000.0,2000.0,2000.0
force choice between canned chicken and half cooking time,distraction,1,5500.0,5500.0,5500.0,5500.0
force opponent to not use a waffle iron,equipment,1,2400.0,2400.0,2400.0,2400.0
force opponent to wear rubber gloves,distraction,1,500.0,500.0,500.0,500.0
force opponents to use different heat source,equipment,3,8000.0,8000.0,8000.0,8000.0
force two opponents to switch stations and dishes with an opponent,distraction,2,10100.0,10100.0,10100.0,10100.0
force your opponent to use a claw hand,equipment,2,2000.0,6600.0,4300.0,4300.0
frozen component in their dish,ingredients,1,7000.0,7000.0,7000.0,7000.0
get your ingredients from a quarter vending machine,distraction,1,9500.0,9500.0,9500.0,9500.0
"give heat sources to opponents (broiler, microwave, fryer)",equipment,3,4000.0,4000.0,4000.0,4000.0
harvest dough from leftover pizza,ingredients,1,10500.0,10500.0,10500.0,10500.0
incorporate savory ingredients,ingredients,1,3000.0,3000.0,3000.0,3000.0
limited to 3 tools in the kitchen,equipment,2,4000.0,11200.0,7600.0,7600.0
lose your noodles,ingredients,1,6400.0,6400.0,6400.0,6400.0
make 3 cocktails for alton,distraction,1,4200.0,4200.0,4200.0,4200.0
make ice cream in hand shaker,equipment,1,5000.0,5000.0,5000.0,5000.0
measure and mixing in muffin tins,equipment,1,,,,
"must carry egg in an egg head, lose $500 if you drop it",distraction,2,700.0,7700.0,4200.0,4200.0
must cook a stack of pancakes 1 foot high,distraction,1,4000.0,4000.0,4000.0,4000.0
must cook and mix in coconuts and pineapples,equipment,1,5800.0,5800.0,5800.0,5800.0
must cook everything in a vertical egg cooker,equipment,1,6000.0,6000.0,6000.0,6000.0
must cook everything in their cobb salad,ingredients,1,6300.0,6300.0,6300.0,6300.0
must cook everything on a mini cook station,equipment,1,5300.0,5300.0,5300.0,5300.0
must cook fries one at a time,distraction,1,7000.0,7000.0,7000.0,7000.0
must cook in a poofy souffle suit,distraction,1,2900.0,2900.0,2900.0,2900.0
must cook in a sheet pan,equipment,1,2100.0,2100.0,2100.0,2100.0
must cook in eggshells,equipment,1,8100.0,8100.0,8100.0,8100.0
must cook in ladles,equipment,1,3000.0,3000.0,3000.0,3000.0
must cook on a shovel,equipment,1,8000.0,8000.0,8000.0,8000.0
must cook on a tv tray table,equipment,1,2100.0,2100.0,2100.0,2100.0
must cook on all in one breakfast sandwich maker,equipment,1,7900.0,7900.0,7900.0,7900.0
must cook on an inverted wok,equipment,1,9200.0,9200.0,9200.0,9200.0
must cook the entire meal in bed,distraction,1,7000.0,7000.0,7000.0,7000.0
must cook tied together with another chef,distraction,2,3600.0,3600.0,3600.0,3600.0
